%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492398279437616460,284,1492398279367894887,,-176.144010169,-1.57871950433,-1.3971810273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0334296136125,0.013127610825,-0.0293081544,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7636925491,-1.1322224314,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279457294994,285,1492398279387877941,,-176.093542643,1.01942124024,-1.3971810273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0319031472375,0.011906437725,-0.0341928468,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.731041254922,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279478012272,286,1492398279407891035,,-176.093542643,1.01942124024,-1.3971810273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0346507867125,0.0108379112625,-0.0300713875875,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.731041254922,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279497554867,287,1492398279428054094,,-176.093542643,1.01942124024,-1.3971810273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0337349068875,0.012211731,-0.030224034225,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.731041254922,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279517779247,288,1492398279448328971,,-176.093542643,1.01942124024,-1.3971810273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033276966975,0.0126696709125,-0.030224034225,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.731041254922,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279536705487,289,1492398279467914104,,-176.183692412,2.59704114797,-1.15967520848,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0319031472375,0.0132802574625,-0.035108726625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,1.86326368633,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279557280106,290,1492398279487946987,,-176.183692412,2.59704114797,-1.15967520848,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0334296136125,0.012517024275,-0.0315978539625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,1.86326368633,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279577319005,291,1492398279507872104,,-176.183692412,2.59704114797,-1.15967520848,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0364825463625,0.00915879825,-0.031445207325,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,1.86326368633,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279599867231,292,1492398279527940034,,-176.179843959,-0.373031261752,-1.15967520848,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0358719598125,0.0132802574625,-0.0329716737,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,-0.267454117654,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279617413954,293,1492398279547944068,,-176.179843959,-0.373031261752,-1.15967520848,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0341928468,0.010685264625,-0.033276966975,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,-0.267454117654,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279637508481,294,1492398279568015098,,-176.179843959,-0.373031261752,-1.16438804012,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033276966975,0.010074678075,-0.0322084405125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73694713733,-0.267454117654,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279657328400,295,1492398279587970972,,-176.143684367,1.39233488169,-1.16438804012,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0349560799875,0.0117537910875,-0.0285449212125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7636925491,0.998495372577,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398279677168221,296,1492398279607882022,,-176.143684367,1.39233488169,-1.16438804012,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0354140199,0.0111432045375,-0.0322084405125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7636925491,0.998495372577,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
